%time,field.dynamixel_state0.name,field.dynamixel_state0.id,field.dynamixel_state0.present_position,field.dynamixel_state0.present_velocity,field.dynamixel_state0.present_current
1599990664522380654,one,1,-10015,0,-1
1599990664554205340,one,1,-10015,0,-1
1599990664618198280,one,1,-10017,0,-1
1599990664650054762,one,1,-10017,0,-1
1599990664714067686,one,1,-10015,0,-1
1599990664745949711,one,1,-10015,0,-1
1599990664810056766,one,1,-10017,0,-1
1599990664874049171,one,1,-10015,0,-1
1599990664906063562,one,1,-10017,0,-1
1599990664969976932,one,1,-10017,0,-1
1599990665001932050,one,1,-10015,0,-1
1599990665066210392,one,1,-10015,0,-1
1599990665098001944,one,1,-10017,0,-1
1599990665161982098,one,1,-10015,0,-1
1599990665193924708,one,1,-10015,0,-1
1599990665257967865,one,1,-10017,0,-1
1599990665322023983,one,1,-10015,0,-1
1599990665353552171,one,1,-10015,0,-1
1599990665417955656,one,1,-10017,0,-1
1599990665449987207,one,1,-10015,0,-1
1599990665514001681,one,1,-10015,0,-1
1599990665546059721,one,1,-10015,0,-1
1599990665610043504,one,1,-10017,0,-1
1599990665674021951,one,1,-10017,0,-1
1599990665705952582,one,1,-10017,0,-1
1599990665769843743,one,1,-10015,0,-1
1599990665801936092,one,1,-10017,0,-1
1599990665866026896,one,1,-10017,0,-1
1599990665897995441,one,1,-10017,0,-1
1599990665962019709,one,1,-10017,0,-1
1599990665993977668,one,1,-10017,0,-1
1599990666058002133,one,1,-10017,0,-1
1599990666121896689,one,1,-10015,0,-1
1599990666154005048,one,1,-10017,0,-1
1599990666217896867,one,1,-10017,0,-1
1599990666249753145,one,1,-10015,0,-1
1599990666313655857,one,1,-10017,0,-1
1599990666345569665,one,1,-10015,0,-1
1599990666410230797,one,1,-10017,0,-1
1599990666473932012,one,1,-10017,0,-1
1599990666505871614,one,1,-10017,0,-1
1599990666569988470,one,1,-10017,0,-1
1599990666601779571,one,1,-10015,0,-1
1599990666666059627,one,1,-10015,0,-1
1599990666697810358,one,1,-10017,0,-1
1599990666761881215,one,1,-10017,0,-1
1599990666793925012,one,1,-10015,0,-1
1599990666858010147,one,1,-10015,0,-1
1599990666921952265,one,1,-10015,0,-1
1599990666953850209,one,1,-10015,0,-1
1599990667017923872,one,1,-10015,0,-1
1599990667050014043,one,1,-10015,0,-1
1599990667113922444,one,1,-10015,0,-1
1599990667145802245,one,1,-10015,0,-1
1599990667209931323,one,1,-10015,0,-1
1599990667273434581,one,1,-10017,0,-1
1599990667305469802,one,1,-10015,0,-1
1599990667370014164,one,1,-10017,0,-1
1599990667401559043,one,1,-10015,0,-1
1599990667465517605,one,1,-10017,0,-1
1599990667497762318,one,1,-10015,0,5
1599990667564089409,one,1,-10003,6,4
1599990667593641049,one,1,-9991,14,2
1599990667657710657,one,1,-9962,25,0
1599990667721892644,one,1,-9930,29,0
1599990667753729856,one,1,-9914,30,0
1599990667817834548,one,1,-9879,32,0
1599990667849753228,one,1,-9862,32,0
1599990667913802182,one,1,-9828,32,0
1599990667945842628,one,1,-9809,32,0
1599990668009758407,one,1,-9774,32,0
1599990668073805828,one,1,-9740,33,0
1599990668105691308,one,1,-9723,33,0
1599990668169685640,one,1,-9688,33,0
1599990668201750994,one,1,-9671,33,0
1599990668266014316,one,1,-9638,33,0
1599990668297689898,one,1,-9619,33,0
1599990668361777330,one,1,-9585,33,0
1599990668393897044,one,1,-9568,33,0
1599990668457679503,one,1,-9532,33,0
1599990668521845722,one,1,-9498,33,0
1599990668553897836,one,1,-9481,33,0
1599990668617761363,one,1,-9447,33,0
1599990668649661758,one,1,-9431,33,0
1599990668713835949,one,1,-9397,33,0
1599990668745746239,one,1,-9380,33,0
1599990668809676547,one,1,-9348,33,0
1599990668873598032,one,1,-9313,33,0
1599990668905731091,one,1,-9297,33,0
1599990668971430093,one,1,-9263,33,0
1599990669001319409,one,1,-9246,33,0
1599990669065665344,one,1,-9212,33,0
1599990669097670117,one,1,-9195,33,0
1599990669162017926,one,1,-9162,33,0
1599990669193781082,one,1,-9144,33,0
1599990669257681750,one,1,-9110,33,0
1599990669321703921,one,1,-9076,33,0
1599990669353708496,one,1,-9059,33,0
1599990669417639018,one,1,-9027,33,0
1599990669449667628,one,1,-9009,33,0
1599990669513712356,one,1,-8976,33,0
1599990669545645657,one,1,-8960,33,0
1599990669609705941,one,1,-8926,33,0
1599990669673527165,one,1,-8892,33,0
1599990669705644174,one,1,-8876,33,0
1599990669769698645,one,1,-8841,33,0
1599990669801731007,one,1,-8825,33,0
1599990669865574621,one,1,-8791,33,0
1599990669897627084,one,1,-8773,33,0
1599990669961737512,one,1,-8739,33,0
1599990669993663323,one,1,-8722,33,0
1599990670057620718,one,1,-8687,33,0
1599990670121578900,one,1,-8653,33,0
1599990670153596104,one,1,-8636,33,0
1599990670217612017,one,1,-8601,33,0
1599990670249831390,one,1,-8585,33,0
1599990670313629035,one,1,-8550,33,0
1599990670345448483,one,1,-8533,33,0
1599990670409715344,one,1,-8499,33,0
