Format Version,1.23,Take Name,Take 2020-08-18 09.00.32 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2020-08-18 09.00.32.848 下午,Total Frames in Take,4607,Total Exported Frames,4607,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,"RigidBody 002:Marker1","RigidBody 002:Marker1","RigidBody 002:Marker1","RigidBody 002:Marker1","RigidBody 002:Marker2","RigidBody 002:Marker2","RigidBody 002:Marker2","RigidBody 002:Marker2","RigidBody 002:Marker3","RigidBody 002:Marker3","RigidBody 002:Marker3","RigidBody 002:Marker3",RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,"RigidBody 003:Marker1","RigidBody 003:Marker1","RigidBody 003:Marker1","RigidBody 003:Marker1","RigidBody 003:Marker2","RigidBody 003:Marker2","RigidBody 003:Marker2","RigidBody 003:Marker2","RigidBody 003:Marker3","RigidBody 003:Marker3","RigidBody 003:Marker3","RigidBody 003:Marker3",RigidBody 004,RigidBody 004,RigidBody 004,RigidBody 004,RigidBody 004,RigidBody 004,RigidBody 004,RigidBody 004,"RigidBody 004:Marker1","RigidBody 004:Marker1","RigidBody 004:Marker1","RigidBody 004:Marker1","RigidBody 004:Marker2","RigidBody 004:Marker2","RigidBody 004:Marker2","RigidBody 004:Marker2","RigidBody 004:Marker3","RigidBody 004:Marker3","RigidBody 004:Marker3","RigidBody 004:Marker3",zzwRigid01,zzwRigid01,zzwRigid01,zzwRigid01,zzwRigid01,zzwRigid01,zzwRigid01,zzwRigid01,"zzwRigid01:Marker1","zzwRigid01:Marker1","zzwRigid01:Marker1","zzwRigid01:Marker1","zzwRigid01:Marker2","zzwRigid01:Marker2","zzwRigid01:Marker2","zzwRigid01:Marker2","zzwRigid01:Marker3","zzwRigid01:Marker3","zzwRigid01:Marker3","zzwRigid01:Marker3","zzwRigid01:Marker4","zzwRigid01:Marker4","zzwRigid01:Marker4","zzwRigid01:Marker4","zzwRigid01:Marker5","zzwRigid01:Marker5","zzwRigid01:Marker5","zzwRigid01:Marker5",RigidBody 004:Marker1,RigidBody 004:Marker1,RigidBody 004:Marker1,RigidBody 004:Marker2,RigidBody 004:Marker2,RigidBody 004:Marker2,RigidBody 004:Marker3,RigidBody 004:Marker3,RigidBody 004:Marker3,zzwRigid01:Marker1,zzwRigid01:Marker1,zzwRigid01:Marker1,zzwRigid01:Marker2,zzwRigid01:Marker2,zzwRigid01:Marker2,zzwRigid01:Marker3,zzwRigid01:Marker3,zzwRigid01:Marker3,zzwRigid01:Marker4,zzwRigid01:Marker4,zzwRigid01:Marker4,zzwRigid01:Marker5,zzwRigid01:Marker5,zzwRigid01:Marker5
,ID,"2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","2D957CD932B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","B26B715032B811EAF6CD14239C3016A4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","95F4AA8AE08711EAF6CD14239C306BA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","E4AA3821E15111EAF6CD14239C306CA4","C4770","C4770","C4770","C4780","C4780","C4780","C46D0","C46D0","C46D0","C5470","C5470","C5470","C8000","C8000","C8000","C86E0","C86E0","C86E0","C8680","C8680","C8680","C82B0","C82B0","C82B0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004514,0.052402,-0.003001,-0.998611,-0.397577,1.580833,-0.938002,0.000947,-0.331421,1.548324,-0.976391,0.800730,-0.350855,1.606213,-0.953313,0.706166,-0.510455,1.587962,-0.884301,0.901825,0.000159,0.000227,-0.000607,-1.000000,-0.397258,1.320764,-0.914525,0.000775,-0.380290,1.329092,-0.925368,0.873385,-0.413717,1.337002,-0.915019,0.819333,-0.397766,1.296199,-0.903187,0.968802,-0.400891,1.404478,-0.933073,0.855431,-0.144255,0.815984,-2.981093,0.757166,-0.331307,1.549101,-0.976254,-0.351378,1.605160,-0.953329,-0.510120,1.588133,-0.884414,-0.380108,1.328619,-0.925359,-0.413804,1.337110,-0.914310,-0.397797,1.296268,-0.903286,-0.401062,1.404995,-0.932877,-0.144133,0.815735,-2.982024
1,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004360,0.052420,-0.003110,-0.998611,-0.397569,1.580817,-0.938022,0.000944,-0.331405,1.548309,-0.976398,0.800730,-0.350852,1.606201,-0.953340,0.706166,-0.510450,1.587940,-0.884327,0.901825,0.000169,0.000205,-0.000690,-1.000000,-0.397265,1.320773,-0.914542,0.000753,-0.380299,1.329103,-0.925386,0.873385,-0.413727,1.337008,-0.915035,0.819333,-0.397769,1.296207,-0.903203,0.968802,-0.400913,1.404485,-0.933091,0.855431,-0.144274,0.815992,-2.981111,0.757166,-0.331293,1.549085,-0.976261,-0.351369,1.605153,-0.953357,-0.510118,1.588109,-0.884439,-0.380116,1.328613,-0.925378,-0.413815,1.337131,-0.914325,-0.397796,1.296296,-0.903318,-0.401085,1.404971,-0.932901,-0.144156,0.815755,-2.982007
2,0.016667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004626,0.052499,-0.002938,-0.998606,-0.397574,1.580830,-0.938013,0.000947,-0.331414,1.548323,-0.976397,0.800989,-0.350847,1.606208,-0.953310,0.707817,-0.510462,1.587960,-0.884332,0.902655,0.000172,0.000205,-0.000712,-1.000000,-0.397274,1.320758,-0.914532,0.000746,-0.380309,1.329089,-0.925376,0.869126,-0.413736,1.336993,-0.915026,0.818358,-0.397777,1.296193,-0.903194,0.963078,-0.400926,1.404471,-0.933082,0.862777,-0.144259,0.815976,-2.981098,0.766552,-0.331301,1.549104,-0.976258,-0.351365,1.605153,-0.953329,-0.510130,1.588130,-0.884444,-0.380125,1.328627,-0.925374,-0.413828,1.337111,-0.914329,-0.397801,1.296251,-0.903327,-0.401097,1.404973,-0.932857,-0.144142,0.815736,-2.981988
3,0.025000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004317,0.052473,-0.003091,-0.998608,-0.397564,1.580831,-0.938028,0.000951,-0.331397,1.548318,-0.976395,0.799603,-0.350844,1.606212,-0.953343,0.705969,-0.510451,1.587964,-0.884346,0.902752,-0.000880,-0.007840,0.001111,-0.999968,-0.397308,1.320800,-0.914404,0.000487,-0.380489,1.329093,-0.925503,0.875629,-0.413716,1.337095,-0.914600,0.821783,-0.397718,1.296213,-0.903110,0.963042,-0.400951,1.404565,-0.932720,0.855987,-0.179422,0.819490,-2.985812,0.767645,-0.331297,1.549098,-0.976251,-0.351353,1.605169,-0.953363,-0.510114,1.588129,-0.884461,-0.380111,1.328624,-0.925372,-0.413834,1.337116,-0.914316,-0.397800,1.296254,-0.903341,-0.401108,1.404957,-0.932896,,,
4,0.033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004444,0.052439,-0.003047,-0.998610,-0.397561,1.580833,-0.938020,0.000937,-0.331399,1.548324,-0.976400,0.800109,-0.350841,1.606214,-0.953332,0.709719,-0.510444,1.587960,-0.884329,0.902004,-0.000916,-0.007515,0.001087,-0.999971,-0.397301,1.320818,-0.914397,0.000498,-0.380475,1.329112,-0.925484,0.845914,-0.413710,1.337112,-0.914602,0.923109,-0.397717,1.296230,-0.903105,0.937888,-0.400936,1.404584,-0.932709,0.885624,-0.178043,0.819669,-2.985699,0.000000,-0.331276,1.549101,-0.976267,-0.351364,1.605158,-0.953349,-0.510118,1.588133,-0.884437,-0.380109,1.328630,-0.925360,-0.413819,1.337104,-0.914331,-0.397800,1.296307,-0.903329,-0.401089,1.404979,-0.932871,,,
5,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004556,0.052463,-0.003037,-0.998608,-0.397559,1.580816,-0.938021,0.000930,-0.331396,1.548315,-0.976405,0.800572,-0.350837,1.606200,-0.953325,0.705249,-0.510444,1.587932,-0.884334,0.903927,0.000180,0.000192,-0.000744,-1.000000,-0.397265,1.320776,-0.914529,0.000750,-0.380300,1.329108,-0.925374,0.845542,-0.413728,1.337009,-0.915023,0.926823,-0.397766,1.296211,-0.903190,0.937180,-0.400923,1.404488,-0.933080,0.886487,-0.144271,0.815977,-2.981094,0.000000,-0.331276,1.549081,-0.976273,-0.351358,1.605160,-0.953340,-0.510116,1.588103,-0.884443,-0.380097,1.328622,-0.925381,-0.413819,1.337102,-0.914327,-0.397803,1.296301,-0.903310,-0.401099,1.405000,-0.932870,-0.144158,0.815746,-2.981959
